Gender,Senior Citizen,Marital Status,Dependents,tenure in months,Priority Account,Credit Cards,Loan Account,Netbanking,Debit Card,MobileApp,TechSupport Availed,Zero Balance Account,FDs,Interest Deposited,Paperless Banking,Monthly Average Balance (USD),Yearly Average Balance (USD),Churn,Customer Feedback,Category,Recommendation
1,0,0,1.0,1.0,1.0,0.0,-1.0,0.0,0,0,0.0,0.0,0.0,2,0.0,44.0,44,0.0,My Credit Card is not generating OTP.,0.0,
1,0,1,1.0,72.0,0.0,0.0,-1.0,1.0,1,1,1.0,1.0,1.0,0,1.0,64.8,4719.75,0.0,The Current Account charges are too high.,1.0,
0,1,0,0.0,20.0,1.0,1.0,-1.0,0.0,1,1,0.0,0.0,1.0,2,1.0,94.1,1782.4,1.0,The loan prepayment charges are too high.,2.0,
0,0,0,0.0,47.0,1.0,1.0,-1.0,1.0,0,1,1.0,0.0,0.0,0,1.0,65.0,2879.9,0.0,The Savings Account opening process was very smooth.,3.0,
0,0,1,1.0,54.0,1.0,1.0,-1.0,1.0,1,0,0.0,1.0,1.0,2,1.0,104.1,5645.8,0.0,The loan documentation process is very complicated.,2.0,
0,0,0,0.0,5.0,1.0,0.0,-1.0,1.0,0,0,1.0,1.0,0.0,2,1.0,64.35,352.65,0.0,The Debit Card activation process took too long.,4.0,
0,0,1,1.0,5.0,1.0,0.0,-1.0,0.0,0,0,0.0,1.0,0.0,2,1.0,80.85,356.1,0.0,I am satisfied with the easy online account opening for my Savings Account.,3.0,
1,0,1,1.0,61.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,20.55,1305.95,0.0,The branch does not have enough seating.,6.0,
1,0,0,0.0,4.0,1.0,1.0,-1.0,0.0,0,0,1.0,0.0,1.0,2,0.0,65.55,237.2,0.0,The Debit Card replacement process was very quick.,4.0,
0,1,0,0.0,32.0,1.0,0.0,-1.0,0.0,1,0,1.0,0.0,0.0,2,0.0,54.65,1830.1,0.0,The loan interest rate was increased without any prior notice.,2.0,
